,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Metascore,IMDBRating,IMDBVotes,IMDBID,Box Office Revenue,Type
22,Grown Ups,2010,PG-13,25 Jun 2010,102.0,Comedy,Dennis Dugan,"Adam Sandler, Fred Wolf","Adam Sandler, Salma Hayek, Kevin James","After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.","English, Spanish",United States,3 wins & 4 nominations,30,5.9,"253,001",tt1375670,"$162,001,186",movie
23,Dark Skies,2013,PG-13,22 Feb 2013,97.0,"Horror, Sci-Fi, Thriller",Scott Stewart,Scott Stewart,"Keri Russell, Jake Brennan, Josh Hamilton","As the Barrett family's peaceful suburban life is rocked by an escalating series of disturbing events, they come to learn that a terrifying and deadly force is after them, one which may have arrived from beyond the stars.",English,United States,,50,6.3,"76,504",tt2387433,"$17,418,667",movie
24,Paranoia,2013,PG-13,16 Aug 2013,106.0,"Drama, Thriller",Robert Luketic,"Jason Hall, Barry L. Levy, Joseph Finder","Liam Hemsworth, Gary Oldman, Harrison Ford","An entry-level employee at a powerful corporation finds himself occupying a corner office, but at a dangerous price: he must spy on his boss's old mentor to secure for him a multi-billion dollar advantage.",English,"United States, India, France",1 nomination,32,5.6,"37,848",tt1413495,"$7,388,654",movie
25,Ankahi Kahaniya,2021,TV-14,17 Sep 2021,110.0,"Drama, Romance","Abhishek Chaubey, Saket Chaudhary, Ashwiny Iyer Tiwari","Piyush Gupta, Hussain Haidry, Shreyas Jain","Abhishek Banerjee, T.J. Bhanu, Nikhil Dwivedi","As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.",Hindi,India,1 nomination,,5.5,905,tt15250998,,movie
26,Chicago Party Aunt,2021–,TV-MA,17 Sep 2021,,"Animation, Comedy",,"Jon Barinholtz, Katie Rich, Chris Witaske","Lauren Ash, Rory O'Malley, RuPaul","Follows Diane Dunbrowski who is always the life of the party, and also known as the ""Chicago Party Aunt"".",English,United States,,,5.4,"1,619",tt15125616,,series
27,Sex Education,2019–,TV-MA,11 Jan 2019,45.0,"Comedy, Drama",,Laurie Nunn,"Asa Butterfield, Gillian Anderson, Ncuti Gatwa",A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.,English,United Kingdom,Won 1 BAFTA Award16 wins & 64 nominations total,,8.4,"277,008",tt7767422,,series
28,Squid Game,2021–,TV-MA,17 Sep 2021,,"Action, Drama, Mystery",,,"Lee Jung-jae, Park Hae-soo, Hoyeon","Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits with deadly high stakes. A survival game that has a whopping 45.6 billion-won prize at stake.","Korean, English, Urdu",South Korea,Won 6 Primetime Emmys. 46 wins & 79 nominations total,,8.0,"441,532",tt10919420,,series
29,The Father Who Moves Mountains,2021,TV-MA,23 Jul 2021,108.0,"Drama, Thriller",Daniel Sandu,Daniel Sandu,"Adrian Titieni, Elena Purea, Judith State","Mircea, a retired intelligence officer, finds out that his son from has gone missing in the mountains. After days of searches, Mircea put his own rescue team together, leading to altercation with the local squad.",Romanian,"Romania, Sweden",2 nominations,,5.6,"3,611",tt8886670,,movie
30,The Stronghold,2020,TV-MA,18 Aug 2021,105.0,"Action, Crime, Thriller",Cédric Jimenez,"Audrey Diwan, Cédric Jimenez","Gilles Lellouche, Karim Leklou, François Civil","A police brigade working in the dangerous northern neighborhoods of Marseille, where the level of crime is higher than anywhere else in France.",French,,7 nominations,,6.9,"10,816",tt10404944,,movie
32,Birth of the Dragon,2016,PG-13,25 Aug 2017,95.0,"Action, Biography, Drama",George Nolfi,"Stephen J. Rivele, Christopher Wilkinson, Michael Dorgan","Billy Magnussen, Yu Xia, Philip Ng","Set against the backdrop of 1960s San Francisco, BIRTH OF THE DRAGON is a modern take on the classic movies that Bruce Lee was known for. It takes its inspiration from the epic and still controversial showdown between an up-and-co...","English, Mandarin","China, Canada, United States",1 win,35,5.6,"8,345",tt2720826,"$6,901,965",movie
33,Chhota Bheem,2008–,,31 Dec 2008,15.0,"Animation, Action, Adventure",,,"Mausam, Rajesh Kava, Kaustav Ghosh",Chhota Bheem is an Indian animated series adventures about a boy named Bheem and his friends in fictional village of Dholakpur.Bheem and his friends are usually involved in protecting the village from various evil forces.,"Hindi, English, Tamil, Telugu",India,2 wins & 6 nominations,,4.3,937,tt4570986,,series
34,He-Man and the Masters of the Universe,1983–1985,TV-Y7,26 Sep 1983,30.0,"Animation, Action, Adventure",,,"John Erwin, Alan Oppenheimer, Linda Gary","The most powerful man in the universe, He-Man, goes against the evil forces of Skeletor to save the planet Eternia and to protect the secrets of Castle Grayskull.",English,United States,1 win & 3 nominations,,7.5,"18,783",tt0126158,,series
35,Jaws,1975,PG,20 Jun 1975,124.0,"Adventure, Thriller",Steven Spielberg,"Peter Benchley, Carl Gottlieb","Roy Scheider, Robert Shaw, Richard Dreyfuss","When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",English,United States,Won 3 Oscars. 15 wins & 20 nominations total,87,8.1,"603,393",tt0073195,"$265,859,065",movie
36,Jaws 2,1978,PG,16 Jun 1978,116.0,"Adventure, Horror, Thriller",Jeannot Szwarc,"Peter Benchley, Carl Gottlieb, Howard Sackler","Roy Scheider, Lorraine Gary, Murray Hamilton",Police chief Brody must protect the citizens of Amity after a second monstrous shark begins terrorizing the waters.,English,United States,,51,5.8,"79,172",tt0077766,"$81,766,007",movie
37,Jaws 3-D,1983,PG,22 Jul 1983,99.0,"Adventure, Horror, Thriller",Joe Alves,"Peter Benchley, Richard Matheson, Carl Gottlieb","Dennis Quaid, Bess Armstrong, Simon MacCorkindale",A giant thirty-five-foot shark becomes trapped in a SeaWorld theme park and it's up to the sons of police chief Brody to rescue everyone.,English,United States,5 nominations,27,3.7,"44,707",tt0085750,"$45,517,055",movie
38,Jaws: The Revenge,1987,PG-13,17 Jul 1987,89.0,"Adventure, Horror, Thriller",Joseph Sargent,"Peter Benchley, Michael De Guzman","Lorraine Gary, Lance Guest, Mario Van Peebles",Chief Brody's widow believes that her family is deliberately being targeted by another shark in search of revenge.,English,United States,1 win & 7 nominations,15,3.0,"46,374",tt0093300,"$20,763,013",movie
39,My Heroes Were Cowboys,2021,PG,16 Sep 2021,22.0,"Documentary, Short",Tyler Greco,,"Kate Wiltshire, Patrick Wiltshire, Robin Wiltshire","Robin Wiltshire, an immigrant inspired by the iconography of the Hollywood western, finds meaning and redemption through the art of horse training.",English,United States,1 nomination,,6.6,286,tt15084326,,movie
40,Safe House,2012,R,10 Feb 2012,115.0,"Action, Thriller",Daniel Espinosa,David Guggenheim,"Denzel Washington, Ryan Reynolds, Robert Patrick","A young CIA agent is tasked with looking after a fugitive in a safe house. But when the safe house is attacked, he finds himself on the run with his charge.","English, Afrikaans","South Africa, United States, Japan",1 win & 7 nominations,52,6.7,"224,174",tt1599348,"$126,373,434",movie
41,The Smart Money Woman,2020–,,30 Nov 2020,1.0,Drama,,Arese Ugwu,"Osas Ighodaro, Ini Dima Okojie, Ebenezer Eno","Meet Zuri. She's living a fabulous life. Great car, gorgeous apartment, well paid job. Meet Zuri. Broken down car, an apartment she cant afford, a job she's about to lose. What's a broke girl to do. With her best friends Tami (the...",English,Nigeria,,,6.4,118,tt12428002,,series
42,Training Day,2001,R,05 Oct 2001,122.0,"Action, Crime, Drama",Antoine Fuqua,David Ayer,"Denzel Washington, Ethan Hawke, Scott Glenn",A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.,"English, Russian, Spanish, Korean, Greek",United States,Won 1 Oscar. 18 wins & 23 nominations total,69,7.7,"434,814",tt0139654,"$76,631,907",movie
43,Dharmakshetra,2014–2015,,19 Nov 2014,43.0,Drama,,,"Bajrangbali Singh, Gaurav Ghatnekar, Chandan Anand","After the end of 18 days war of Mahabharata, Pandavas and Kauravas reach the court of Chitragupta where they have to answer their actions of their past life. In each episode one of the character takes the centre stage to answer th...",Hindi,India,,,8.4,323,tt6803712,,series
44,InuYasha the Movie 2: The Castle Beyond the Looking Glass,2002,Not Rated,28 Dec 2004,99.0,"Action, Animation, Comedy",Toshiya Shinohara,"Rumiko Takahashi, Katsuyuki Sumizawa","Kappei Yamaguchi, Satsuki Yukino, Kôji Tsujitani","After seemingly defeating their common enemy, Naraku, What appears to be the near-end of their journey instead leads Inuyasha and the rest facing against a new threat of an mysterious demon princess named Kaguya.","Japanese, English",Japan,,,7.3,"2,186",tt0366621,,movie
45,InuYasha the Movie 3: Swords of an Honorable Ruler,2003,Not Rated,01 May 2006,99.0,"Animation, Action, Adventure",Toshiya Shinohara,"Katsuyuki Sumizawa, Rumiko Takahashi","Kappei Yamaguchi, Satsuki Yukino, Kôji Tsujitani","The legendary sword, So'unga, which belonged to the Great Dog Demon, has been unleashed. It seeks to cover the Earth in an eternal Hell and end all life on it. Inuyasha must join forces with his hateful brother, Sesshoumaru, and p...",Japanese,Japan,,,7.6,"2,251",tt0396659,,movie
46,Inuyasha the Movie 4: Fire on the Mystic Island,2004,Not Rated,20 Jul 2006,89.0,"Animation, Action, Adventure",Toshiya Shinohara,"Rumiko Takahashi, Katsuyuki Sumizawa","Kappei Yamaguchi, Satsuki Yukino, Kôji Tsujitani","50 years ago, Inuyasha was marked with a blood scar on his back, and as of yet, he hasn't gotten revenge. He encounters children with the same scar desperate to find a way to escape. Inuyasha and his friends is taken to an island ...",Japanese,Japan,,,7.2,"1,872",tt0473658,,movie
47,Inuyasha the Movie: Affections Touching Across Time,2001,Not Rated,25 May 2005,100.0,"Animation, Action, Adventure",Toshiya Shinohara,"Rumiko Takahashi, Katsuyuki Sumizawa","Kappei Yamaguchi, Satsuki Yukino, Kôji Tsujitani",Menomaru(a moth monster) was brought to life by a Shikon Shard. Inuyasha's father has defeated the monster's father 500 years ago. Inuyasha will need Kagome's feelings to win.,Japanese,Japan,,,7.2,"2,633",tt0322645,,movie
48,Nailed It,2018,Not Rated,26 Oct 2018,60.0,Documentary,Adele Pham,,,"""Nailed It"" chronicles the genesis and legacy of the 40 year Vietnamese nail salon and its influence on an $8 billion-dollar American industry. For mixed-race Vietnamese filmmaker Adele Pham it's personal, as she confronts her cul...",English,United States,,,7.3,15,tt9042156,,movie
49,Naruto Shippuden the Movie: Blood Prison,2011,TV-14,18 Feb 2014,108.0,"Animation, Action, Fantasy",Masahiko Murata,"Akira Higashiyama, Masashi Kishimoto","Junko Takeuchi, Chie Nakamura, Rikiya Koyama",Naruto Uzumaki is framed and sent to an inescapable prison where he must escape by any means necessary.,Japanese,Japan,1 nomination,,7.1,"5,240",tt1999167,,movie
50,Naruto Shippuden: The Movie - Bonds,2008,TV-14,25 Oct 2011,98.0,"Animation, Action, Fantasy",Hajime Kamegaki,"Masashi Kishimoto, Junki Takegami","Junko Takeuchi, Chie Nakamura, Noriaki Sugiyama","A mysterious group of ninja called the Sora-nin from the Sky Country makes a surprise attack on Konoha. This is because Konoha nearly destroyed the Sky Country during the last Shinobi World War, yet they survived and now they're a...",Japanese,Japan,,,6.8,"4,675",tt1160524,,movie
51,Naruto Shippuden the Movie: Blood Prison,2011,TV-14,18 Feb 2014,108.0,"Animation, Action, Fantasy",Masahiko Murata,"Akira Higashiyama, Masashi Kishimoto","Junko Takeuchi, Chie Nakamura, Rikiya Koyama",Naruto Uzumaki is framed and sent to an inescapable prison where he must escape by any means necessary.,Japanese,Japan,1 nomination,,7.1,"5,240",tt1999167,,movie
52,Naruto the Movie 2: Legend of the Stone of Gelel,2005,TV-14,06 Aug 2005,97.0,"Animation, Action, Adventure",Hirotsugu Kawasaki,"Masashi Kishimoto, Hirotsugu Kawasaki, Yuka Miyata","Junko Takeuchi, Shôtarô Morikubo, Chie Nakamura","Naruto, Shikamaru and Sakura are on a mission to deliver a lost pet to a village when a mysterious knight appear to confront them.",Japanese,Japan,,,6.4,"4,465",tt0791188,,movie
53,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,2006,TV-14,08 Nov 2008,95.0,"Animation, Action, Adventure",Toshiyuki Tsuru,"Toshiyuki Tsuru, Masashi Kishimoto","Junko Takeuchi, Chie Nakamura, Yôichi Masukawa","Naruto, Kakashi, Sakura, and Rock Lee are assigned to protect Michiru, the prince of the Land of the Moon, while he travel the world. The prince purchased a tiger Sham and the whole circus, which became the team's protection.",Japanese,Japan,,,6.3,"4,174",tt1071815,,movie
54,Naruto the Movie: Ninja Clash in the Land of Snow,2004,TV-14,06 Jun 2007,82.0,"Animation, Action, Adventure",Tensai Okamura,"Masashi Kishimoto, Katsuyuki Sumizawa","Junko Takeuchi, Chie Nakamura, Noriaki Sugiyama",Naruto and his team are hired to protect a young actress from three rogue warriors in the Land of the Snow.,Japanese,Japan,,,6.6,"7,053",tt0476680,,movie
55,Nightbooks,2021,TV-PG,15 Sep 2021,103.0,"Family, Fantasy, Horror",David Yarovesky,"Mikki Daughtry, Tobias Iaconis, J.A. White","Winslow Fegley, Lidya Jewett, Krysten Ritter","Alex, a boy obsessed with scary stories, is imprisoned by an evil young witch in her contemporary New York City apartment.",English,United States,1 nomination,65,5.7,"9,156",tt10521144,,movie
56,Numberblocks,2017–,TV-Y,23 Jan 2017,5.0,"Animation, Family",,Joe Elliot,"Marcel McCalla, Beth Chalmers, Sooz Kempner","Learning numbers and how to count with colourful personified blocks, each with their own quirks.",English,United Kingdom,,,8.6,232,tt7978538,,series
57,Saved by the Bell,1989–1992,TV-PG,20 Aug 1989,1.0,"Comedy, Family, Romance",,Sam Bobrick,"Mark-Paul Gosselaar, Mario Lopez, Dustin Diamond","A close-knit group of six friends get through their teens together while attending Bayside High School in Palisades, California.",English,United States,6 wins & 26 nominations,,7.0,"35,460",tt0096694,,series
58,Schumacher,2021,12,15 Sep 2021,112.0,"Documentary, Biography, Sport","Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech","Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech","Ross Brawn, Flavio Briatore, Luca Cordero di Montezemolo","Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher.","German, English",Germany,,,7.4,"23,149",tt10322274,,movie
59,Stories by Rabindranath Tagore,2015,,06 Jul 2015,45.0,Drama,,,"Bhanu Uday, Atul Srivastava, Radhika Apte",The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal.,"Hindi, Bengali",India,,,8.7,"1,356",tt4853764,,series
62,Jack Whitehall: Travels with My Father,2017–2021,TV-MA,22 Sep 2017,30.0,"Documentary, Comedy",,,"Jack Whitehall, Michael Whitehall, Hilary Whitehall","Follows Jack Whitehall as he embarks on the trip of a lifetime with his father, Michael. The two set off on a journey across South East Asia to partake in a series of adventures, mishaps and escapades with two very different persp...",English,United Kingdom,,,7.6,"5,603",tt7453996,,series
63,King of Boys,2018,TV-MA,26 Oct 2018,169.0,"Crime, Drama",Kemi Adetiba,Kemi Adetiba,"Sola Sobowale, Remilekun Reminisce Safaru, Adesua Etomi-Wellington","When a powerful businesswoman's political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.","Yoruba, English, Ibo, Hausa",Nigeria,4 wins & 5 nominations,,6.1,433,tt8329618,,movie
64,The World's Most Amazing Vacation Rentals,2021–,TV-PG,18 Jun 2021,,Reality-TV,,,"Megan Batoon, Luis D. Ortiz, Jo Franco","With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series.",English,United States,,,6.8,"1,406",tt14691382,,series
65,You vs. Wild: Out Cold,2021,TV-G,14 Sep 2021,25.0,"Short, Adventure",Ben Simms,,Bear Grylls,"Follows Bear Grylls after a plane crash in the ice ravaged mountains, where he finds himself with amnesia and tries to save himself and the pilot from the harsh winter elements.",English,United States,2 wins & 1 nomination,,5.4,349,tt15250050,,movie
66,Yowamushi Pedal,2013–,,07 Oct 2013,23.0,"Animation, Comedy, Drama",,Wataru Watanabe,"Daiki Yamashita, Kôsuke Toriumi, Jun Fukushima","Onoda is a cheerful otaku looking to join his new school's anime club, eager to finally make some friends. Unfortunately, the club has been disbanded and somehow he stumbled into the bicycle club.",Japanese,Japan,,,7.7,850,tt2942228,,series
67,Tughlaq Durbar,2021,,10 Sep 2021,145.0,"Comedy, Drama, Thriller",Delhi Prasad Deenadayal,"Delhi Prasad Deenadayal, Balaji Kesavan","Vijay Sethupathi, Raashi Khanna, Manjima Mohan","A budding politician has devious plans to rise in the ranks, until he suddenly develops an alter ego that interferes with his every crooked move.",Tamil,India,,,5.4,"1,648",tt9769668,,movie
68,Kate,2021,R,10 Sep 2021,106.0,"Action, Adventure, Crime",Cedric Nicolas-Troyan,Umair Aleem,"Mary Elizabeth Winstead, Woody Harrelson, Miku Patricia Martineau",A jaded assassin assigned to target a yakuza clan has 24 hours to find out who poisoned her and get vengeance before she dies.,"English, Japanese",United States,1 nomination,47,6.2,"61,718",tt7737528,,movie
69,Lucifer,2016–2021,TV-14,25 Jan 2016,42.0,"Crime, Drama, Fantasy",,Tom Kapinos,"Tom Ellis, Lauren German, Kevin Alejandro",Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,English,United States,Nominated for 1 Primetime Emmy. 2 wins & 20 nominations total,,8.1,"321,625",tt4052886,,series
70,Metal Shop Masters,2021–,TV-MA,10 Sep 2021,1.0,"Game-Show, Reality-TV",,,"Jo Koy, Rae Ripple, Stephanie Hoffman","On this competition show, a group of metal artists torch, cut and weld epic, badass creations from hardened steel. Only one will win a $50,000 prize.",English,United States,,,5.7,602,tt15216520,,series
71,Omo Ghetto: The Saga,2020,,25 Dec 2020,110.0,"Action, Adventure, Comedy","Funke Akindele, Jjc Skillz","Yinka Adebayo, Funke Akindele, Collins Okoh","Yewande Adebayo, Austin Adugbe, Mercy Aigbe","This is a story about Lefty who, together with her squad from the ghetto, was always getting into one trouble or the other.","English, Yoruba, Ibo, Hausa",Nigeria,3 nominations,,7.6,72,tt14099462,,movie
